id	filename	md5	size	state
0021cfdd-2eba-4fe3-aeab-db8ed26a180f	0021cfdd-2eba-4fe3-aeab-db8ed26a180f/a9240a0e-366d-42cf-a77e-3cf73fd9bda2.wxs.aliquot_ensemble_masked.maf.gz	299b7ef3c6ef9f4b467386cfcf9b5e2b	13817	validated
01f4dfce-14c1-4f9f-a074-468256d22df0	01f4dfce-14c1-4f9f-a074-468256d22df0/245c9863-d193-4f98-a847-007f7200dc4c.wxs.aliquot_ensemble_masked.maf.gz	7883eab9a87027b105f41c1b97994037	33714	validated
02007152-8dea-4cf5-9253-579bb87bb8c4	02007152-8dea-4cf5-9253-579bb87bb8c4/121b88ed-e85d-4e39-9dd7-3631df19333c.wxs.aliquot_ensemble_masked.maf.gz	7f1b54979ca8dcc2cef3fbca39cd64d1	24508	validated
02127e43-6aa5-4d73-8754-3e14e2aadbf9	02127e43-6aa5-4d73-8754-3e14e2aadbf9/3bd35668-b16b-4441-b10a-afb6070b87b7.wxs.aliquot_ensemble_masked.maf.gz	f649e20d40b3acb154051e20a59c79f6	63361	validated
02f67520-9ae8-4918-a9a7-f1dd3030228b	02f67520-9ae8-4918-a9a7-f1dd3030228b/02b09efa-fed4-461d-ab07-20ca6663c114.wxs.aliquot_ensemble_masked.maf.gz	3745eb7782c12ed001dddfbf3b5c92b2	30284	validated
0385dcc3-291a-4578-b609-72161e464942	0385dcc3-291a-4578-b609-72161e464942/05c38e06-d338-4899-9578-769ce958ce37.wxs.aliquot_ensemble_masked.maf.gz	affc0c4f8a553874f0ba28ed644ed1a0	35603	validated
03ba0ed0-b8d3-4ad5-9c26-e18689a78597	03ba0ed0-b8d3-4ad5-9c26-e18689a78597/8ae35ce8-5c78-42df-b941-c4abc3dd860e.wxs.aliquot_ensemble_masked.maf.gz	e11df5f47b02176d79d65ed0da7700f5	16322	validated
04c1a843-e7bb-450c-9883-2a1619bfa1d1	04c1a843-e7bb-450c-9883-2a1619bfa1d1/e31a57af-e1c7-49b8-80e1-f9f8ca4e6e0a.wxs.aliquot_ensemble_masked.maf.gz	8fafae6a42c3d1929ff6d393013c965a	20275	validated
04cbb042-97e8-4eee-8d2f-df7277e45f4d	04cbb042-97e8-4eee-8d2f-df7277e45f4d/c57a6516-9de3-46ef-bc40-a0767258e1d4.wxs.aliquot_ensemble_masked.maf.gz	9b25de82859e4fda011cea1f8d5d9efb	26121	validated
04ebc5fc-284a-4ac2-8a12-29ff932163e0	04ebc5fc-284a-4ac2-8a12-29ff932163e0/b043c28c-f596-44d3-a7d1-f58722d7c868.wxs.aliquot_ensemble_masked.maf.gz	535e316a28e62906d5c5bcd8489dbe9a	18249	validated
04f1b2bf-66ca-40e6-a9f9-501a8a31cb32	04f1b2bf-66ca-40e6-a9f9-501a8a31cb32/33bb75d9-50c8-45cb-b2f3-70a0f261a93f.wxs.aliquot_ensemble_masked.maf.gz	e6c293103cabcfd64702328203999d98	29623	validated
05a646f1-2e29-4582-baba-11fe7142a867	05a646f1-2e29-4582-baba-11fe7142a867/e82420a9-f4e6-4874-b149-77441e5f49cc.wxs.aliquot_ensemble_masked.maf.gz	221e7483ec599141f0cc3500cfcdae3e	15400	validated
05abfa9a-fb71-4427-8a4b-80976860dc09	05abfa9a-fb71-4427-8a4b-80976860dc09/05557320-c5aa-43c6-82f5-a559c5592818.wxs.aliquot_ensemble_masked.maf.gz	92e97efa724bd92c48b09b0a6ce602fa	14340	validated
05fba2fc-18e3-4f10-88b5-a5305059d52a	05fba2fc-18e3-4f10-88b5-a5305059d52a/8fbecfac-2dc4-4ae9-8634-23e1f8602e6f.wxs.aliquot_ensemble_masked.maf.gz	b4aad855c87ab3b5c703bac319bce136	21258	validated
063cd1d8-54bd-452b-800d-9308af719af5	063cd1d8-54bd-452b-800d-9308af719af5/c1e59413-7fd7-4408-9fa8-ad764d1b3dab.wxs.aliquot_ensemble_masked.maf.gz	1dae14c8826ec0ea1703f732f418d4ed	17983	validated
06b0c7dd-2374-4311-94a0-2dc81f40dbd4	06b0c7dd-2374-4311-94a0-2dc81f40dbd4/f7484091-3275-4aa0-b645-acdf2b522586.wxs.aliquot_ensemble_masked.maf.gz	284002a499fca79cc4c36ae0b65ef35f	32717	validated
073adc1f-c81a-432c-9396-4eafa7a1eccf	073adc1f-c81a-432c-9396-4eafa7a1eccf/cd1d8683-fc4e-48fb-a076-1d503bf064c3.wxs.aliquot_ensemble_masked.maf.gz	ef49114e3ca9e6b1d5f2458791166684	18695	validated
0968cf09-0b79-432a-9473-b4a2c31eda6b	0968cf09-0b79-432a-9473-b4a2c31eda6b/fff34728-8670-4a28-8b88-5f63da40a23f.wxs.aliquot_ensemble_masked.maf.gz	8cc2bdda2f8811e14003e585d314d289	26077	validated
0998183b-2394-421b-a028-5d5d40093ebc	0998183b-2394-421b-a028-5d5d40093ebc/e10f26fc-a98e-416d-a74c-dece792a7ac2.wxs.aliquot_ensemble_masked.maf.gz	a3f8e96c7c0bfc060b1a585d1b625ad7	17362	validated
0a0d93a0-8b20-468a-9203-0b042139a449	0a0d93a0-8b20-468a-9203-0b042139a449/5af507d8-562e-4972-8d82-40ab4836d1e7.wxs.aliquot_ensemble_masked.maf.gz	b2bd488240d6f9cbfea80f00eb4dbeaf	17921	validated
0a5e42a4-b630-4218-b756-0b69aa28e4c7	0a5e42a4-b630-4218-b756-0b69aa28e4c7/1761e8bb-4cf1-4ac9-bc05-48d3ccfff7fb.wxs.aliquot_ensemble_masked.maf.gz	e9694209d3509b6e29a0fafed0e07630	24196	validated
0b447b4d-e96c-49e6-a724-55bec44608c3	0b447b4d-e96c-49e6-a724-55bec44608c3/5541f50b-2c8a-4fb6-8af2-afcc4984cb18.wxs.aliquot_ensemble_masked.maf.gz	baf4b2e871d5f760e7ff9caf3b36ea87	20504	validated
0cbd5f2c-d1fc-4e18-a8c9-3654154ce172	0cbd5f2c-d1fc-4e18-a8c9-3654154ce172/5a7563a6-8db5-4529-82e8-66a473b97018.wxs.aliquot_ensemble_masked.maf.gz	58e0ff8b8ea65e1543d086c22c19d5f1	24490	validated
0e33c269-dbcb-4401-ab6d-9d6de19e277b	0e33c269-dbcb-4401-ab6d-9d6de19e277b/c39ea0d7-4a40-4520-b863-c8a598c19f98.wxs.aliquot_ensemble_masked.maf.gz	ea728054965f7a64599f7b2e782369c2	24957	validated
0f439982-ad44-4188-9672-36706fa52717	0f439982-ad44-4188-9672-36706fa52717/3d1133f7-54c6-445c-820c-ed07ab0823b2.wxs.aliquot_ensemble_masked.maf.gz	55193a09c095cf15a54bb3d7c0268ab7	22645	validated
0ff8152e-30ad-4ded-9ee2-2b5d31afe635	0ff8152e-30ad-4ded-9ee2-2b5d31afe635/33d1b6f5-0d82-4d2d-b5bd-27652ae45fd2.wxs.aliquot_ensemble_masked.maf.gz	fe8fc61c57fc270be82054e32b1202a1	20777	validated
0fff8e44-8864-4e96-90ae-4f10235b5f9b	0fff8e44-8864-4e96-90ae-4f10235b5f9b/5cea157a-5674-4c61-a129-d25e2e14b427.wxs.aliquot_ensemble_masked.maf.gz	02a6f4f74b9777c30f5322429740c7cc	24781	validated
10f97136-c8e5-418d-82e9-34072ea02d04	10f97136-c8e5-418d-82e9-34072ea02d04/be72790c-1072-4458-8def-f57120903873.wxs.aliquot_ensemble_masked.maf.gz	2ad49750ac0d5a3597c2f91d14e7aec5	17692	validated
112f9760-5168-45fe-ad58-796ef1d1c773	112f9760-5168-45fe-ad58-796ef1d1c773/3a9d9339-239e-46b6-900c-b005d09e1d2e.wxs.aliquot_ensemble_masked.maf.gz	5a525c9949dcaf2716827529aa10d644	6400	validated
11c76eb1-1c45-4bcc-bd36-6ec5d4eff099	11c76eb1-1c45-4bcc-bd36-6ec5d4eff099/071e90ad-ffcb-4ffe-9863-2d5afc6257d7.wxs.aliquot_ensemble_masked.maf.gz	cc8fd9d63891d888f4a9c3dca259e850	21638	validated
